cik,company,event_type,event_date,as_of_date,date_basis,source_accession,source_url,cohort,verification
1580864,"Vroom, Inc.",chapter11,2024-11-13,2024-11-13,8k_filing_date_fallback,0001193125-24-256669,https://www.sec.gov/Archives/edgar/data/1580864/000119312524256669/d902566d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1656634,"Gritstone bio, Inc.",chapter11,2024-10-10,2024-10-10,petition_date_from_8k_text,0001193125-24-235637,https://www.sec.gov/Archives/edgar/data/1656634/000119312524235637/d119736d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
890447,Vertex Energy Inc.,chapter11,2024-09-24,2024-09-26,petition_date_from_8k_text,0001999371-24-012469,https://www.sec.gov/Archives/edgar/data/890447/000199937124012469/vntr_8k-091924.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1723580,"BurgerFi International, Inc.",chapter11,2024-09-17,2024-09-17,8k_filing_date_fallback,0001723580-24-000055,https://www.sec.gov/Archives/edgar/data/1723580/000172358024000055/bfi-20240911.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1008654,TUPPERWARE BRANDS CORP,chapter11,2024-09-17,2024-09-18,petition_date_from_8k_text,0001008654-24-000068,https://www.sec.gov/Archives/edgar/data/1008654/000100865424000068/tup-20240917.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1391127,"Edgio, Inc.",chapter11,2024-09-09,2024-09-09,petition_date_from_8k_text,0001193125-24-215572,https://www.sec.gov/Archives/edgar/data/1391127/000119312524215572/d795614d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
768835,FORMER BL STORES INC,chapter11,2024-09-09,2024-09-10,petition_date_from_8k_text,0000768835-24-000062,https://www.sec.gov/Archives/edgar/data/768835/000076883524000062/big-20240905.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1396033,"LL Flooring Holdings, Inc.",chapter11,2024-08-11,2024-08-12,petition_date_from_8k_text,0001193125-24-198385,https://www.sec.gov/Archives/edgar/data/1396033/000119312524198385/d794510d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
867773,SUNPOWER CORP,chapter11,2024-08-05,2024-08-06,petition_date_from_8k_text,0000867773-24-000086,https://www.sec.gov/Archives/edgar/data/867773/000086777324000086/spwr-20240802.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1223389,CONNS INC,chapter11,2024-07-25,2024-07-25,8k_filing_date_fallback,0001193125-24-184837,https://www.sec.gov/Archives/edgar/data/1223389/000119312524184837/d855036d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1459417,"2U, LLC",chapter11,2024-07-24,2024-07-25,petition_date_from_8k_text,0001193125-24-184277,https://www.sec.gov/Archives/edgar/data/1459417/000119312524184277/d875063d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1834045,"Vintage Wine Estates, Inc.",chapter11,2024-07-24,2024-07-24,petition_date_from_8k_text,0000950170-24-085857,https://www.sec.gov/Archives/edgar/data/1834045/000095017024085857/vwe-20240719.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1101396,"DELTA APPAREL, INC",chapter11,2024-06-30,2024-07-01,petition_date_from_8k_text,0001437749-24-021637,https://www.sec.gov/Archives/edgar/data/1101396/000143774924021637/dla20240619_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1720990,Fisker Inc./DE,chapter11,2024-06-24,2024-06-24,8k_filing_date_fallback,0001193125-24-167032,https://www.sec.gov/Archives/edgar/data/1720990/000119312524167032/d798771d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1651944,"DermTech, Inc.",chapter11,2024-06-18,2024-06-18,8k_filing_date_fallback,0001651944-24-000060,https://www.sec.gov/Archives/edgar/data/1651944/000165194424000060/dmtk-20240612.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
730255,CalAmp Corp.,chapter11,2024-06-03,2024-06-03,petition_date_from_8k_text,0000950170-24-067683,https://www.sec.gov/Archives/edgar/data/730255/000095017024067683/camp-20240522.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1634447,"ISUN, INC.",chapter11,2024-06-03,2024-06-07,petition_date_from_8k_text,0001493152-24-023164,https://www.sec.gov/Archives/edgar/data/1634447/000149315224023164/form8-k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1811109,"Applied UV, Inc.",chapter11,2024-05-31,2024-05-31,8k_filing_date_fallback,0001213900-24-048456,https://www.sec.gov/Archives/edgar/data/1811109/000121390024048456/ea0207186-8k_applieduv.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1353538,"Appgate, Inc.",chapter11,2024-05-06,2024-05-06,petition_date_from_8k_text,0001628280-24-020689,https://www.sec.gov/Archives/edgar/data/1353538/000162828024020689/apgt-20240430.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1483510,"EXP OldCo Winddown, Inc.",chapter11,2024-04-22,2024-04-22,petition_date_from_8k_text,0001193125-24-103828,https://www.sec.gov/Archives/edgar/data/1483510/000119312524103828/d827429d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1333835,Casa Systems Inc,chapter11,2024-04-03,2024-04-03,petition_date_from_8k_text,0001193125-24-085992,https://www.sec.gov/Archives/edgar/data/1333835/000119312524085992/d818677d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1811856,"View, Inc.",chapter11,2024-04-02,2024-04-03,petition_date_from_8k_text,0001193125-24-085064,https://www.sec.gov/Archives/edgar/data/1811856/000119312524085064/d86667d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1008848,"Acorda Therapeutics, Inc.",chapter11,2024-04-01,2024-04-02,petition_date_from_8k_text,0000950170-24-039674,https://www.sec.gov/Archives/edgar/data/1008848/000095017024039674/acor-20240331.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1305253,"Eiger BioPharmaceuticals, Inc.",chapter11,2024-04-01,2024-04-01,8k_filing_date_fallback,0001193125-24-083403,https://www.sec.gov/Archives/edgar/data/1305253/000119312524083403/d818699d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1823882,Airspan Networks Holdings Inc.,chapter11,2024-03-31,2024-04-01,petition_date_from_8k_text,0001829126-24-002060,https://www.sec.gov/Archives/edgar/data/1823882/000182912624002060/airspannetworks_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1711291,CURO Group Holdings Corp.,chapter11,2024-03-25,2024-03-25,petition_date_from_8k_text,0001104659-24-038503,https://www.sec.gov/Archives/edgar/data/1711291/000110465924038503/tm249524d1_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1834585,JOANN Inc.,chapter11,2024-03-18,2024-03-18,petition_date_from_8k_text,0001193125-24-069648,https://www.sec.gov/Archives/edgar/data/1834585/000119312524069648/d775196d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1592057,"Enviva, LLC",chapter11,2024-03-12,2024-03-13,petition_date_from_8k_text,0001104659-24-033709,https://www.sec.gov/Archives/edgar/data/1592057/000110465924033709/tm248430d1_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1277250,"Charge Enterprises, Inc.",chapter11,2024-03-07,2024-03-12,petition_date_from_8k_text,0001437749-24-007478,https://www.sec.gov/Archives/edgar/data/1277250/000143774924007478/crge20240311c_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1078207,BOWFLEX INC.,chapter11,2024-03-04,2024-03-05,petition_date_from_8k_text,0001628280-24-008736,https://www.sec.gov/Archives/edgar/data/1078207/000162828024008736/bfx-20240304.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1347652,"CorEnergy Infrastructure Trust, Inc.",chapter11,2024-02-25,2024-02-26,petition_date_from_8k_text,0001347652-24-000017,https://www.sec.gov/Archives/edgar/data/1347652/000134765224000017/corr-20240225.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1501134,Invitae Corp,chapter11,2024-02-13,2024-02-14,petition_date_from_8k_text,0001501134-24-000016,https://www.sec.gov/Archives/edgar/data/1501134/000150113424000016/nvta-20240213.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1551693,"PROJECT SAGE OLDCO, INC.",chapter11,2024-02-12,2024-02-13,petition_date_from_8k_text,0001213900-24-012888,https://www.sec.gov/Archives/edgar/data/1551693/000121390024012888/ea193549-8k_sientrainc.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1800682,"Cano Health, Inc.",chapter11,2024-02-05,2024-02-05,8k_filing_date_fallback,0001193125-24-023512,https://www.sec.gov/Archives/edgar/data/1800682/000119312524023512/d733561d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1401708,"NS Wind Down Co., Inc.",chapter11,2024-02-05,2024-02-05,8k_filing_date_fallback,0001401708-24-000012,https://www.sec.gov/Archives/edgar/data/1401708/000140170824000012/nstg-20240204.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1067837,"AUDACY, INC.",chapter11,2024-01-05,2024-01-08,petition_date_from_8k_text,0001193125-24-003834,https://www.sec.gov/Archives/edgar/data/1067837/000119312524003834/d676036d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1861449,"Bird Global, Inc.",chapter11,2023-12-20,2023-12-26,petition_date_from_8k_text,0001861449-23-000220,https://www.sec.gov/Archives/edgar/data/1861449/000186144923000220/brds-20231220.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
814549,EBIX INC,chapter11,2023-12-17,2023-12-19,petition_date_from_8k_text,0001193125-23-298190,https://www.sec.gov/Archives/edgar/data/814549/000119312523298190/d629924d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1784567,"Harbor Custom Development, Inc.",chapter11,2023-12-11,2023-12-15,petition_date_from_8k_text,0001493152-23-045017,https://www.sec.gov/Archives/edgar/data/1784567/000149315223045017/form8-k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1826671,"Near Intelligence, Inc.",chapter11,2023-12-11,2023-12-11,8k_filing_date_fallback,0001213900-23-094534,https://www.sec.gov/Archives/edgar/data/1826671/000121390023094534/ea189803-8k_nearintell.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1021096,"Troika Media Group, Inc.",chapter11,2023-12-07,2023-12-07,8k_filing_date_fallback,0001628280-23-040998,https://www.sec.gov/Archives/edgar/data/1021096/000162828023040998/trka-20231207.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1813756,WeWork Inc.,chapter11,2023-11-06,2023-11-07,petition_date_from_8k_text,0001193125-23-271902,https://www.sec.gov/Archives/edgar/data/1813756/000119312523271902/d522028d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1821850,Sunlight Financial Holdings Inc.,chapter11,2023-10-31,2023-10-31,8k_filing_date_fallback,0001104659-23-112707,https://www.sec.gov/Archives/edgar/data/1821850/000110465923112707/tm2329469d1_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1776197,AKUMIN INC.,chapter11,2023-10-22,2023-10-23,petition_date_from_8k_text,0001193125-23-260391,https://www.sec.gov/Archives/edgar/data/1776197/000119312523260391/d559087d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
84129,"NEW RITE AID, LLC",chapter11,2023-10-15,2023-10-16,petition_date_from_8k_text,0001104659-23-109413,https://www.sec.gov/Archives/edgar/data/84129/000110465923109413/tm2328535d1_8ka.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1762322,"SHIFT TECHNOLOGIES, INC.",chapter11,2023-10-09,2023-10-10,petition_date_from_8k_text,0001213900-23-081257,https://www.sec.gov/Archives/edgar/data/1762322/000121390023081257/ea186500-8k_shifttech.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1872356,"Molekule Group, Inc.",chapter11,2023-10-03,2023-10-03,8k_filing_date_fallback,0001104659-23-106353,https://www.sec.gov/Archives/edgar/data/1872356/000110465923106353/tm2327546d1_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1775625,"SmileDirectClub, Inc.",chapter11,2023-09-29,2023-10-02,petition_date_from_8k_text,0001775625-23-000109,https://www.sec.gov/Archives/edgar/data/1775625/000177562523000109/sdc-20230925.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1009759,"Capstone Energy Plus, Inc.",chapter11,2023-09-28,2023-09-28,petition_date_from_8k_text,0001558370-23-016108,https://www.sec.gov/Archives/edgar/data/1009759/000155837023016108/cgrn-20230926x8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1770141,"UpHealth, Inc.",chapter11,2023-09-19,2023-09-19,petition_date_from_8k_text,0001193125-23-237292,https://www.sec.gov/Archives/edgar/data/1770141/000119312523237292/d496861d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1446687,"SILVER STAR PROPERTIES REIT, INC",chapter11,2023-09-13,2023-09-14,petition_date_from_8k_text,0001446687-23-000050,https://www.sec.gov/Archives/edgar/data/1446687/000144668723000050/a8-kspebk.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1108967,"Orbital Infrastructure Group, Inc.",chapter11,2023-08-23,2023-08-24,petition_date_from_8k_text,0001437749-23-024627,https://www.sec.gov/Archives/edgar/data/1108967/000143774923024627/oeg20230824_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1365916,"AMYRIS, INC.",chapter11,2023-08-09,2023-08-10,petition_date_from_8k_text,0001365916-23-000094,https://www.sec.gov/Archives/edgar/data/1365916/000136591623000094/amrs-20230804.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1820630,Proterra Inc,chapter11,2023-08-07,2023-08-08,petition_date_from_8k_text,0001628280-23-027865,https://www.sec.gov/Archives/edgar/data/1820630/000162828023027865/ptra-20230807.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
716006,Yellow Corp,chapter11,2023-08-06,2023-08-07,petition_date_from_8k_text,0001193125-23-204370,https://www.sec.gov/Archives/edgar/data/716006/000119312523204370/d483482d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
