cik,company,event_type,event_date,as_of_date,date_basis,source_accession,source_url,cohort,verification
1852117,Rockley Photonics Holdings Ltd,chapter11,2023-01-23,2023-01-24,petition_date_from_8k_text,0001852117-23-000003,https://www.sec.gov/Archives/edgar/data/1852117/000185211723000003/rkly-20230123.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1592058,Party City Holdco Inc.,chapter11,2023-01-18,2023-01-18,8k_filing_date_fallback,0001193125-23-009847,https://www.sec.gov/Archives/edgar/data/1592058/000119312523009847/d643228d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1595585,"Tricida, Inc.",chapter11,2023-01-11,2023-01-12,petition_date_from_8k_text,0001595585-23-000007,https://www.sec.gov/Archives/edgar/data/1595585/000159558523000007/tcda-20230109.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1596946,Quotient Ltd,chapter11,2023-01-10,2023-01-10,petition_date_from_8k_text,0001193125-23-005670,https://www.sec.gov/Archives/edgar/data/1596946/000119312523005670/d165499d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1839341,"Core Scientific, Inc./tx",chapter11,2022-12-21,2022-12-21,8k_filing_date_fallback,0001193125-22-310173,https://www.sec.gov/Archives/edgar/data/1839341/000119312522310173/d366482d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1466301,"Clovis Oncology, Inc.",chapter11,2022-12-13,2022-12-13,8k_filing_date_fallback,0001193125-22-303179,https://www.sec.gov/Archives/edgar/data/1466301/000119312522303179/d386858d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1069996,FedNat Holding Co,chapter11,2022-12-12,2022-12-12,8k_filing_date_fallback,0001069996-22-000102,https://www.sec.gov/Archives/edgar/data/1069996/000106999622000102/fnhc-20221211.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1832351,"Fast Radius, Inc.",chapter11,2022-11-08,2022-11-08,8k_filing_date_fallback,0000950170-22-022842,https://www.sec.gov/Archives/edgar/data/1832351/000095017022022842/fsrd-20221104.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1579823,"NewAge, Inc.",chapter11,2022-08-30,2022-08-30,petition_date_from_8k_text,0001493152-22-024420,https://www.sec.gov/Archives/edgar/data/1579823/000149315222024420/form8-k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1593034,Endo International plc,chapter11,2022-08-16,2022-08-17,petition_date_from_8k_text,0001193125-22-222687,https://www.sec.gov/Archives/edgar/data/1593034/000119312522222687/d394120d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
