cik,tier,severity,signal,event_date,as_of_date,source_form,source_accession,noisy
315293,near_default,3,delisting_by_exchange,2020-04-01,2020-04-01,25-NSE,0000876661-20-000277,0
315293,stress,2,listing_rule_failure,2020-04-01,2020-04-01,8-K12B,0001193125-20-093512,0
315293,near_default,3,delisting_by_exchange,2021-02-16,2021-02-16,25-NSE,0000876661-21-000210,0
315293,near_default,3,delisting_by_exchange,2023-11-27,2023-11-27,25-NSE,0000876661-23-000893,0
315293,near_default,3,delisting_by_exchange,2024-06-14,2024-06-14,25-NSE,0000876661-24-000487,0
315293,near_default,3,delisting_by_exchange,2025-12-15,2025-12-15,25-NSE,0000876661-25-000973,0
315293,near_default,3,delisting_by_exchange,2026-02-17,2026-02-17,25-NSE,0000876661-26-000139,0
318154,near_default,3,delisting_filed,2020-12-28,2020-12-28,25,0001193125-20-327646,0
318154,near_default,3,delisting_by_exchange,2022-02-07,2022-02-07,25-NSE,0001354457-22-000109,0
318154,near_default,3,delisting_by_exchange,2026-02-24,2026-02-24,25-NSE,0001354457-26-000212,0
320187,early_warning,1,exit_or_disposal_costs,2023-12-21,2023-12-21,8-K,0000320187-23-000054,1
320187,early_warning,1,exit_or_disposal_costs,2026-03-05,2026-03-05,8-K,0000320187-26-000017,1
320193,near_default,3,delisting_filed,2019-03-14,2019-03-14,25,0001193125-19-074874,0
320193,near_default,3,delisting_by_exchange,2022-11-09,2022-11-09,25-NSE,0001354457-22-000638,0
320193,near_default,3,delisting_by_exchange,2024-01-17,2024-01-17,25-NSE,0001354457-24-000017,0
320193,near_default,3,delisting_by_exchange,2025-05-22,2025-05-22,25-NSE,0001354457-25-000451,0
320193,near_default,3,delisting_by_exchange,2025-11-14,2025-11-14,25-NSE,0001354457-25-001138,0
352998,stress,2,listing_rule_failure,2015-10-14,2015-10-14,8-K,0001144204-15-059317,0
352998,near_default,3,delisting_filed,2015-10-23,2015-10-23,25,0001144204-15-060627,0
352998,stress,2,restatement_non_reliance,2018-03-15,2018-03-15,8-K,0001144204-18-014901,0
352998,early_warning,1,late_annual_report,2018-03-19,2018-03-19,NT 10-K,0001628280-18-003352,0
352998,early_warning,1,late_quarterly_report,2018-05-11,2018-05-11,NT 10-Q,0001144204-18-027706,0
352998,early_warning,1,auditor_change,2018-08-14,2018-08-14,8-K,0001144204-18-044724,1
352998,stress,2,restatement_non_reliance,2018-11-13,2018-11-13,8-K,0001144204-18-059002,0
352998,early_warning,1,late_quarterly_report,2018-11-13,2018-11-13,NT 10-Q,0001144204-18-059001,0
352998,stress,2,listing_rule_failure,2018-11-19,2018-11-19,8-K,0001144204-18-060580,0
352998,early_warning,1,late_annual_report,2019-03-19,2019-03-19,NT 10-K,0001144204-19-014850,0
352998,stress,2,listing_rule_failure,2019-06-07,2019-06-07,8-K,0001144204-19-030301,0
352998,stress,2,listing_rule_failure,2019-12-06,2019-12-06,8-K,0001104659-19-070609,0
352998,early_warning,1,late_annual_report,2020-03-30,2020-03-30,NT 10-K,0001104659-20-039823,0
352998,stress,2,listing_rule_failure,2020-07-31,2020-07-31,8-K,0001104659-20-089056,0
352998,early_warning,1,late_quarterly_report,2020-08-14,2020-08-14,NT 10-Q,0001104659-20-095132,0
352998,early_warning,1,late_quarterly_report,2020-11-13,2020-11-13,NT 10-Q,0001104659-20-125042,0
352998,stress,2,listing_rule_failure,2020-12-01,2020-12-01,8-K,0001104659-20-131123,0
352998,stress,2,listing_rule_failure,2020-12-10,2020-12-10,8-K,0001104659-20-134199,0
352998,early_warning,1,auditor_change,2021-01-22,2021-01-22,8-K,0001104659-21-006658,1
352998,early_warning,1,auditor_change,2021-03-02,2021-03-02,8-K,0001104659-21-030787,1
352998,early_warning,1,late_annual_report,2021-03-31,2021-03-31,NT 10-K,0001104659-21-044797,0
352998,stress,2,listing_rule_failure,2021-04-15,2021-04-15,8-K,0001104659-21-050796,0
352998,stress,2,listing_rule_failure,2021-04-22,2021-04-22,8-K,0001104659-21-053454,0
352998,early_warning,1,auditor_change,2021-05-07,2021-05-07,8-K/A,0001104659-21-063079,1
352998,early_warning,1,late_quarterly_report,2021-05-17,2021-05-17,NT 10-Q,0001104659-21-068023,0
352998,default,4,chapter11_petition,2021-10-15,2021-10-15,8-K,0001104659-21-126768,0
352998,near_default,3,debt_acceleration,2021-10-15,2021-10-15,8-K,0001104659-21-126768,0
352998,stress,2,listing_rule_failure,2021-10-15,2021-10-15,8-K,0001104659-21-126768,0
352998,near_default,3,delisting_by_exchange,2021-10-27,2021-10-27,25-NSE,0001354457-21-001223,0
354190,stress,2,listing_rule_failure,2022-03-04,2022-03-04,8-K,0001193125-22-066271,0
716006,default,4,chapter11_petition,2023-08-06,2023-08-07,8-K,0001193125-23-204370,0
716006,near_default,3,debt_acceleration,2023-08-07,2023-08-07,8-K,0001193125-23-204370,0
716006,stress,2,listing_rule_failure,2023-08-09,2023-08-09,8-K,0000950170-23-040179,0
716006,early_warning,1,late_quarterly_report,2023-08-10,2023-08-10,NT 10-Q,0000950170-23-041000,0
716006,near_default,3,delisting_by_exchange,2023-09-08,2023-09-08,25-NSE,0001354457-23-000648,0
716006,early_warning,1,late_quarterly_report,2023-11-13,2023-11-13,NT 10-Q,0000950170-23-062261,0
720154,stress,2,listing_rule_failure,2016-12-07,2016-12-07,8-K,0001144204-16-138305,0
