cik,company,sic,fts_date,item103_date,item103_accession,source_url,petition_date,date_basis,total_assets,periodic_filings_before,last_periodic,has_item103,has_chapter11_text,has_chapter7_text,verdict,reasons
75439,"Medite Cancer Diagnostics, Inc.",3841,2019-01-03,2019-01-03,0001654954-19-000075,https://www.sec.gov/Archives/edgar/data/75439/000165495419000075/medite8k.htm,2019-01-03,8k_filing_date_fallback,17651000.0,74,2018-11-14,True,True,False,rejected,"total assets below 50,000,000"
1301712,ICPW LIQUIDATION Corp,5090,2018-02-15,2018-02-15,0001721868-18-000122,https://www.sec.gov/Archives/edgar/data/1301712/000172186818000122/f2icpw8k021418.htm,2018-02-15,8k_filing_date_fallback,16120942.0,37,2017-05-15,True,True,False,rejected,"total assets below 50,000,000"
1526689,"Generation NEXT Franchise Brands, Inc.",3580,2019-12-18,2019-12-18,0001640334-19-002610,https://www.sec.gov/Archives/edgar/data/1526689/000164033419002610/vend_8k.htm,2019-12-18,8k_filing_date_fallback,15818499.0,32,2019-10-16,True,True,False,rejected,"total assets below 50,000,000"
1375618,"Amazing Energy Oil & Gas, Co.",1311,2020-04-09,2020-04-09,0001654954-20-003865,https://www.sec.gov/Archives/edgar/data/1375618/000165495420003865/amaz_8k-17960b.htm,2020-04-09,8k_filing_date_fallback,14626381.0,48,2020-03-23,True,True,False,rejected,"total assets below 50,000,000"
1080029,"Dougherty's Pharmacy, Inc.",5912,2019-08-30,2019-08-30,0001683168-19-002792,https://www.sec.gov/Archives/edgar/data/1080029/000168316819002792/doughertys_8k-082919.htm,2019-08-30,8k_filing_date_fallback,12608000.0,39,2019-05-20,True,True,False,rejected,"total assets below 50,000,000"
1456212,"BlackRidge Technology International, Inc.",7372,2020-03-18,2020-03-18,0001096906-20-000113,https://www.sec.gov/Archives/edgar/data/1456212/000109690620000113/blackridge.htm,2020-03-18,8k_filing_date_fallback,11365056.0,38,2019-11-14,True,True,False,rejected,"total assets below 50,000,000"
1105533,ARGOS THERAPEUTICS INC,2834,2018-12-03,2018-12-03,0001171843-18-008263,https://www.sec.gov/Archives/edgar/data/1105533/000117184318008263/f8k_113018.htm,2018-12-03,8k_filing_date_fallback,10880900.0,20,2018-11-19,True,True,False,rejected,"total assets below 50,000,000"
1140310,"EnSync, Inc.",4911,2019-03-12,2019-03-12,0001144204-19-013402,https://www.sec.gov/Archives/edgar/data/1140310/000114420419013402/tv516025_8k.htm,2019-03-12,8k_filing_date_fallback,10181800.0,41,2018-11-13,True,True,False,rejected,"total assets below 50,000,000"
1292519,INVIVO THERAPEUTICS HOLDINGS CORP.,3841,2018-01-29,2024-02-01,0001104659-24-009146,https://www.sec.gov/Archives/edgar/data/1292519/000110465924009146/tm244807d1_8k.htm,2024-02-01,8k_filing_date_fallback,9584000.0,62,2023-11-08,True,True,False,rejected,"total assets below 50,000,000"
1436161,United Cannabis Corp,2834,2020-04-24,2020-04-24,0001553350-20-000364,https://www.sec.gov/Archives/edgar/data/1436161/000155335020000364/cnab_8k.htm,2020-04-20,petition_date_from_8k_text,9050755.0,31,2019-11-14,True,True,False,rejected,"total assets below 50,000,000"
1109196,"MABVAX THERAPEUTICS HOLDINGS, INC.",2834,2019-03-25,2019-03-25,0001654954-19-003258,https://www.sec.gov/Archives/edgar/data/1109196/000165495419003258/mbvx8k_mar212019.htm,2019-03-25,8k_filing_date_fallback,8897260.0,72,2018-11-13,True,True,True,rejected,"total assets below 50,000,000"
1450390,BAKKEN RESOURCES INC,1311,2018-12-10,2018-12-10,0001206774-18-003369,https://www.sec.gov/Archives/edgar/data/1450390/000120677418003369/bakken3512491-8k.htm,2018-12-10,8k_filing_date_fallback,7312521.0,35,2017-11-15,True,True,False,rejected,"total assets below 50,000,000"
1178104,Dex Liquidating Co.,3841,2018-01-26,2018-01-26,0001437749-18-001160,https://www.sec.gov/Archives/edgar/data/1178104/000143774918001160/crdc20180125_8k.htm,2018-01-26,8k_filing_date_fallback,6530000.0,48,2017-11-09,True,True,False,rejected,"total assets below 50,000,000"
920448,BROADVISION INC,7372,2020-03-30,2020-03-27,0001562762-20-000134,https://www.sec.gov/Archives/edgar/data/920448/000156276220000134/bvsn-20200327x8k.htm,2020-03-27,8k_filing_date_fallback,5587000.0,92,2019-11-19,True,True,False,rejected,"total assets below 50,000,000"
