cik,as_of,index_ok,text_ok,late_filing,covenant,delisting,auditor_change,restatement,impairment,going_concern,material_weakness,label
1613103,2024-10-01,True,True,0,0,0,0,0,0,0,0,0
1656634,2024-10-01,True,True,0,0,1,0,0,0,1,0,1
1731289,2024-10-01,True,True,0,0,1,1,0,0,1,1,1
1744489,2024-10-01,True,True,0,0,0,0,0,1,0,0,0
1772695,2024-10-01,True,True,0,0,0,0,0,0,0,0,1
1779020,2024-10-01,True,True,0,0,1,0,0,0,0,0,1
1804591,2024-10-01,True,True,0,0,1,0,0,0,1,0,1
1813914,2024-10-01,True,True,1,0,1,0,0,0,1,1,1
1830210,2024-10-01,True,True,0,0,1,0,0,0,1,0,1
1835972,2024-10-01,True,True,1,0,1,1,1,0,0,1,1
1850838,2024-10-01,True,True,0,0,0,0,0,0,1,1,1
1893311,2024-10-01,True,True,1,0,1,0,1,0,1,1,1
10795,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
50863,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
105319,2025-01-01,True,True,0,0,0,0,0,0,0,0,1
109198,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
200406,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
318154,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
719955,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
720154,2025-01-01,True,True,1,0,0,0,0,0,1,1,0
748790,2025-01-01,True,True,1,0,0,0,0,0,1,1,1
797468,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
882095,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
895419,2025-01-01,True,True,0,0,0,0,0,0,0,0,1
1018724,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1101680,2025-01-01,True,True,1,0,1,1,1,0,0,1,1
1133421,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1159167,2025-01-01,True,True,0,1,0,0,0,0,1,0,1
1162461,2025-01-01,True,True,1,0,1,0,1,0,1,1,1
1177394,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1220754,2025-01-01,True,True,0,0,0,0,0,0,1,1,1
1324424,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1333986,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1402057,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1415404,2025-01-01,True,True,0,0,0,0,0,0,1,0,0
1455684,2025-01-01,True,True,0,0,0,0,0,1,0,0,1
1456772,2025-01-01,True,True,0,0,0,0,0,0,1,0,1
1467373,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1510295,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1652044,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1687229,2025-01-01,True,True,0,0,0,0,0,0,0,0,0
1731289,2025-01-01,True,True,0,0,1,1,0,0,1,1,1
1758057,2025-01-01,True,True,1,0,1,0,0,0,0,0,1
1772695,2025-01-01,True,True,0,0,0,0,0,0,0,0,1
1779020,2025-01-01,True,True,1,1,1,0,0,0,1,0,1
1804591,2025-01-01,True,True,0,0,1,0,0,0,1,1,1
1830210,2025-01-01,True,True,0,0,1,0,0,0,1,0,1
1850838,2025-01-01,True,True,0,0,0,0,0,0,1,1,1
1893311,2025-01-01,True,True,1,0,1,0,1,0,1,1,1
7536,2025-04-01,True,True,0,0,0,0,0,0,0,1,0
78003,2025-04-01,True,True,0,0,0,0,0,0,0,0,0
101829,2025-04-01,True,True,0,0,0,0,0,0,0,0,0
105319,2025-04-01,True,True,0,0,1,0,0,0,0,1,1
723254,2025-04-01,True,True,0,0,0,0,0,0,0,0,0
748790,2025-04-01,True,True,1,0,0,0,0,0,1,1,1
766704,2025-04-01,True,True,0,0,0,0,0,0,0,0,0
812074,2025-04-01,True,True,0,0,0,0,0,1,0,0,0
818686,2025-04-01,True,True,0,0,0,0,0,0,0,1,0
895419,2025-04-01,True,True,0,0,0,0,0,0,1,0,1
927653,2025-04-01,True,True,0,0,0,0,0,0,0,0,0
936468,2025-04-01,True,True,0,0,0,0,0,0,0,0,0
1058623,2025-04-01,True,True,0,0,1,0,0,0,0,0,1
1159167,2025-04-01,True,True,0,1,0,0,0,0,1,0,1
1164727,2025-04-01,True,True,0,0,0,0,0,0,0,0,0
1220754,2025-04-01,True,True,0,0,0,0,0,0,1,1,1
1326380,2025-04-01,True,True,0,0,0,1,0,0,0,0,0
1333986,2025-04-01,True,True,0,0,0,0,0,0,0,0,0
1341439,2025-04-01,True,True,0,0,0,0,0,0,0,0,0
1411579,2025-04-01,True,True,0,0,0,0,0,0,0,0,0
1455684,2025-04-01,True,True,0,0,0,0,0,1,0,0,1
1456772,2025-04-01,True,True,0,0,1,0,0,0,1,0,1
1532286,2025-04-01,True,True,0,0,1,0,0,0,0,0,1
1705012,2025-04-01,True,True,0,0,0,0,0,0,0,0,1
1758057,2025-04-01,True,True,1,0,1,1,0,0,0,1,1
1772695,2025-04-01,True,True,0,0,0,0,0,0,1,0,1
1856437,2025-04-01,True,True,0,0,0,0,0,0,0,0,0
1893311,2025-04-01,True,True,1,0,1,0,1,0,1,1,1
2488,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
29534,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
33213,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
64803,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
70318,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
89800,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
92122,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
720154,2025-07-01,True,True,1,0,0,0,0,0,1,1,1
723254,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
745732,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
764065,2025-07-01,True,True,0,0,0,0,0,0,0,1,0
764478,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
827187,2025-07-01,True,True,0,0,0,0,0,0,0,0,1
866787,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
1001233,2025-07-01,True,True,0,0,1,0,0,0,1,0,1
1037976,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
1058623,2025-07-01,True,True,0,0,1,0,0,0,0,0,1
1090012,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
1099219,2025-07-01,True,True,0,0,0,0,0,0,0,1,0
1133421,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
1159167,2025-07-01,True,True,0,1,0,0,0,0,1,0,1
1177394,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
1206264,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
1220754,2025-07-01,True,True,0,0,1,0,0,0,1,0,1
